Level	EXPInTotal	ExpNeedtoNextLevel	RewardCoin	RewardRuby	RewardSong
1	0	10	0	0	
2	10	20	0	10	
3	30	30	0	10	
4	60	40	0	10	
5	100	50	0	30	
6	150	70	0	15	
7	220	80	0	15	
8	300	100	0	15	
9	400	200	0	15	
10	600	300	0	50	
11	900	400	0	20	
12	1300	500	0	20	
13	1800	600	0	20	
14	2400	700	0	20	
15	3100	800	0	50	
16	3900	900	0	25	
17	4800	1000	0	25	
18	5800	1100	0	25	
19	6900	1200	0	25	
20	8100	1500	0	50	
21	9600	1600	0	25	
22	11200	1700	0	25	
23	12900	2000	0	25	
24	14900	2100	0	25	
25	17000	2200	0	25	
26	19200	2500	0	25	
27	21700	2600	0	25	
28	24300	2700	0	25	
29	27000	3000	0	25	
30	30000	3100	0	25	
31	33100	3200	0	25	
32	36300	3500	0	25	
33	39800	3600	0	25	
34	43400	3700	0	25	
35	47100	4000	0	25	
36	51100	4100	0	25	
37	55200	4200	0	25	
38	59400	4500	0	25	
39	63900	4600	0	25	
40	68500	4700	0	25	
41	73200	5000	0	25	
42	78200	5000	0	25	
43	83200	5000	0	25	
44	88200	5000	0	25	
45	93200	5000	0	25	
46	98200	10000	0	25	
47	108200	10000	0	25	
48	118200	10000	0	25	
49	128200	10000	0	25	
50	138200	10000	0	25	
51	148200	15000	0	25	
52	163200	15000	0	25	
53	178200	15000	0	25	
54	193200	15000	0	25	
55	208200	15000	0	25	
56	223200	20000	0	25	
57	243200	20000	0	25	
58	263200	20000	0	25	
59	283200	20000	0	25	
60	303200	0	0	25	
