id	songName	storeID	author	levelToUnlock	price	Song Loop	VersionMid	VersionMp3	MidFile	Mp3File	speedBegin	speedIncreaseAfterOneLoop	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
1	First Snow	firstsnow		1	0	1	0	0	https://www.zinhpixry.website/Games/s_firstsnow.mid	https://www.zinhpixry.website/Games/s_firstsnow.mp3	1	0.25	0;35.0;70	1;1.05263158;1.111111111111	1650	1000	HOT	1
2	Guitar Test Level	guitar		1	0	1	0	0	https://www.zinhpixry.website/Games/s_guitar.mid	https://www.zinhpixry.website/Games/s_guitar.ogg	1	0.25	0;45.0;90	1;1.05263158;1.111111111111	1400	1000	HOT	1
3	Love And Inspiration	loveandinspiration		3	0	1	0	0	https://www.zinhpixry.website/Games/s_loveandinspiration.mid	https://www.zinhpixry.website/Games/s_loveandinspiration.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
4	Romantic 3	romantic3	Smart Sounds	-1	10	1	0	0	https://www.zinhpixry.website/Games/s_romantic3.mid	https://www.zinhpixry.website/Games/s_romantic3.mp3	1	0.25	0;43.4;69.5	1;1.0204081633;1.0416666667	1140	1000	NORMAL	1
5	The Beautiful Danube	thebeautifuldanube	Johann Strauss II	-1	10	1	0	0	https://www.zinhpixry.website/Games/s_thebeautifuldanube.mid	https://www.zinhpixry.website/Games/s_thebeautifuldanube.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1400	1000	NORMAL	2
6	Christmas Ukulele	christmasukulele		-1	50	1	0	0	https://www.zinhpixry.website/Games/s_christmasukulele.mid	https://www.zinhpixry.website/Games/s_christmasukulele.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
7	Time To Grow	timetogrow		4	0	1	0	0	https://www.zinhpixry.website/Games/s_timetogrow.mid	https://www.zinhpixry.website/Games/s_timetogrow.mp3	1	0.25	0;40.0;80	1;1.0204081633;1.0416666667	1400	1000	NORMAL	1
8	Rain Of Sakura	rainofsakura		5	0	1	0	0	https://www.zinhpixry.website/Games/s_rainofsakura.mid	https://www.zinhpixry.website/Games/s_rainofsakura.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1800	1000	NORMAL	2
9	Wedding Piano	weddingpiano		6	0	1	0	0	https://www.zinhpixry.website/Games/s_weddingpiano.mid	https://www.zinhpixry.website/Games/s_weddingpiano.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1500	1500	NORMAL	1
10	Emotional Orchestra	emotionalorchestra	Best Audio	-1	50	1	0	0	https://www.zinhpixry.website/Games/s_emotionalorchestra.mid	https://www.zinhpixry.website/Games/s_emotionalorchestra.mp3	1	0.25	0;45.11;75.6	1;1.0204081633;1.0416666667	1700	1000	NEW	2
11	Beautiful Piano	beautifulpiano	Light Of Music	-1	50	1	0	0	https://www.zinhpixry.website/Games/s_beautifulpiano.mid	https://www.zinhpixry.website/Games/s_beautifulpiano.mp3	1	0.25	0;37.75;75.09	1;1.0204081633;1.0416666667	1700	1000	NEW	1
12	New Year	newyear		-1	50	1	0	0	https://www.zinhpixry.website/Games/s_newyear.mid	https://www.zinhpixry.website/Games/s_newyear.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
13	Kid Theme	kidtheme		7	0	1	0	0	https://www.zinhpixry.website/Games/s_kidtheme.mid	https://www.zinhpixry.website/Games/s_kidtheme.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1800	1500	NORMAL	2
14	Canvas Painting	canvaspainting		8	0	1	0	0	https://www.zinhpixry.website/Games/s_canvaspainting.mid	https://www.zinhpixry.website/Games/s_canvaspainting.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1650	1000	NORMAL	1
38	Clear Day	clearday		20	0	1	0	0	https://www.zinhpixry.website/Games/s_clearday.mid	https://www.zinhpixry.website/Games/s_clearday.mp3	1	0.25	0;39.0;62.0	1;1.05263158;1.111111111111	1900	1000	NORMAL	3
39	Classic Guitar	classicguitar		21	0	1	0	0	https://www.zinhpixry.website/Games/s_classicguitar.mid	https://www.zinhpixry.website/Games/s_classicguitar.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1900	1500	NORMAL	3
40	Believe In Happiness	believeinhappiness	Serginxs	-1	10	1	0	0	https://www.zinhpixry.website/Games/s_believeinhappiness.mid	https://www.zinhpixry.website/Games/s_believeinhappiness.mp3	1	0.25	0;48.63;83.95	1;1.0204081633;1.0416666667	2250	1000	NEW	3
41	Childish Story 	childishstory	Actual Sound	-1	50	1	0	0	https://www.zinhpixry.website/Games/s_childishstory.mid	https://www.zinhpixry.website/Games/s_childishstory.mp3	1	0.25	0;42.8;87	1;1.0204081633;1.0416666667	2300	1000	NEW	3
42	Romantic	romantic	Praded	-1	50	1	0	0	https://www.zinhpixry.website/Games/s_romantic.mid	https://www.zinhpixry.website/Games/s_romantic.mp3	1	0.25	0;46;69.55	1;1.0204081633;1.0416666667	2700	1000	NEW	1
43	In Love	inlove		22	0	1	0	0	https://www.zinhpixry.website/Games/s_inlove.mid	https://www.zinhpixry.website/Games/s_inlove.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2000	1500	NORMAL	1
44	Little Idea	littleidea		23	0	1	0	0	https://www.zinhpixry.website/Games/s_littleidea.mid	https://www.zinhpixry.website/Games/s_littleidea.mp3	1	0.25	0;55.0;78.5	1;1.11111111111;1.25	2000	1500	NORMAL	2
45	Fly With Me	flywithme		24	0	1	0	0	https://www.zinhpixry.website/Games/s_flywithme.mid	https://www.zinhpixry.website/Games/s_flywithme.mp3	1	0.25	0;40.0;80	1;1.05263158;1.111111111111	2000	1000	NORMAL	3
